tweet_id,user_id,screen_name,text,time,Fake News
9.78E+17,9.43E+17,apostlelaurind4,this is y turning America in2 a (excuse the term) sh*thole country will never work ... paid protesters will never fight2the death 2 defeat American Constitutional Rights & the defenders of the US Constitution Will !!!!!!,3/25/2018 15:49,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,304270324,alienfriendly,"They paid them commission to sell items like buttons, T-shirt’s, etc... the commission was estimated $120-$300 but that was to work... not to march!   Plus commission estimates are always bogus— there is enough bad out there, 95%+ weren’t even give this option???",3/26/2018 3:55,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,7.77E+17,KathyMcQ1,"Poor Jacob.  No wonder you were an epic failure already at 19, barred for life.  You can't read. .. sad.",3/25/2018 15:39,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,17000619,EyeDoc11,Another Soros AstroTurf campaign?,3/25/2018 14:37,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,7.74E+17,larryfortrump,Again......crooked democrats paying people to riot and protest.  They don’t know how to do anything without cheating for their gains,3/25/2018 13:21,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,9.48E+17,ann01138178,Sad!,3/25/2018 16:42,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,280640419,IamstillBlakeD,"Yo dawg, you caught some capitalism red handed. Nothing else to see here.",3/25/2018 14:41,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,9.47E+17,wolfwhitaker,Well run me my money den,3/25/2018 14:11,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,176967147,Cat_5_Cane,"Consider who else would be on Craigslit asking for names, pics and phone numbers...especially if the ad would draw kid/teens.",3/26/2018 13:37,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.79E+17,1014883080,MKapronica,300 that's it? Mr Soros pays me 7000 per Facebook and Twitter post,3/27/2018 15:28,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,8.48E+17,JohnKrone2,Wonder if Obama’s OFA was involved?,3/25/2018 12:39,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.79E+17,4711232840,RandomlyRyan_CG,"Someone show this to .@joerogan - He said on his podcast HE DOES NOT BELIEVE PPL GET PAID TO PROTEST!

Here you go sir, proof.",3/27/2018 12:42,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,110514178,BeachyPiers,67% of America would retire and there'd be an employment crisis if your fake narrative was true.  JesusHChrist you fools will believe anything.,3/26/2018 13:25,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,123052944,runningsub4,"You guys can’t negotiate.  I was paid $1,000",3/26/2018 20:39,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,1965826896,jthunda65,wow when the kids that marched for less than $300.00 find out they're gonnna be pissed.,3/26/2018 17:33,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,1673370270,tambid1,Soros has deep pockets and is desperate as the world is voting get out his global world order perps.....go ITALY....,3/25/2018 19:03,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
